2020-07-31 16:31:19 install libcrypt1:amd64 <none> 1:4.4.10-10ubuntu4
2020-07-31 16:31:19 status half-installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-07-31 16:31:19 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2020-07-31 16:31:19 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:31:19 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:31:19 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:31:20 install libdebconfclient0:amd64 <none> 0.251ubuntu1
2020-07-31 16:31:20 status half-installed libdebconfclient0:amd64 0.251ubuntu1
2020-07-31 16:31:20 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2020-07-31 16:31:20 install libext2fs2:amd64 <none> 1.45.5-2ubuntu1
2020-07-31 16:31:20 status half-installed libext2fs2:amd64 1.45.5-2ubuntu1
2020-07-31 16:31:20 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2020-07-31 16:31:20 install libfdisk1:amd64 <none> 2.34-0.1ubuntu9
2020-07-31 16:31:20 status half-installed libfdisk1:amd64 2.34-0.1ubuntu9
2020-07-31 16:31:20 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2020-07-31 16:31:20 install libgcc-s1:amd64 <none> 10-20200411-0ubuntu1
2020-07-31 16:31:20 status half-installed libgcc-s1:amd64 10-20200411-0ubuntu1
2020-07-31 16:31:21 status unpacked libgcc-s1:amd64 10-20200411-0ubuntu1
2020-07-31 16:31:21 install libgcrypt20:amd64 <none> 1.8.5-5ubuntu1
2020-07-31 16:31:21 status half-installed libgcrypt20:amd64 1.8.5-5ubuntu1
2020-07-31 16:31:21 status unpacked libgcrypt20:amd64 1.8.5-5ubuntu1
2020-07-31 16:31:21 install libgpg-error0:amd64 <none> 1.37-1
2020-07-31 16:31:21 status half-installed libgpg-error0:amd64 1.37-1
2020-07-31 16:31:21 status unpacked libgpg-error0:amd64 1.37-1
2020-07-31 16:31:21 install liblz4-1:amd64 <none> 1.9.2-2
2020-07-31 16:31:21 status half-installed liblz4-1:amd64 1.9.2-2
2020-07-31 16:31:21 status unpacked liblz4-1:amd64 1.9.2-2
2020-07-31 16:31:21 install liblzma5:amd64 <none> 5.2.4-1
2020-07-31 16:31:21 status half-installed liblzma5:amd64 5.2.4-1
2020-07-31 16:31:21 status unpacked liblzma5:amd64 5.2.4-1
2020-07-31 16:31:21 install libmount1:amd64 <none> 2.34-0.1ubuntu9
2020-07-31 16:31:21 status half-installed libmount1:amd64 2.34-0.1ubuntu9
2020-07-31 16:31:21 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2020-07-31 16:31:21 install libncurses6:amd64 <none> 6.2-0ubuntu2
2020-07-31 16:31:21 status half-installed libncurses6:amd64 6.2-0ubuntu2
2020-07-31 16:31:21 status unpacked libncurses6:amd64 6.2-0ubuntu2
2020-07-31 16:31:21 install libncursesw6:amd64 <none> 6.2-0ubuntu2
2020-07-31 16:31:21 status half-installed libncursesw6:amd64 6.2-0ubuntu2
2020-07-31 16:31:21 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2020-07-31 16:31:21 install libpam-modules:amd64 <none> 1.3.1-5ubuntu4
2020-07-31 16:31:21 status half-installed libpam-modules:amd64 1.3.1-5ubuntu4
2020-07-31 16:31:22 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2020-07-31 16:31:22 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu4
2020-07-31 16:31:22 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2020-07-31 16:31:22 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2020-07-31 16:31:22 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2020-07-31 16:31:22 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2020-07-31 16:31:22 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2020-07-31 16:31:22 install libpam0g:amd64 <none> 1.3.1-5ubuntu4
2020-07-31 16:31:22 status half-installed libpam0g:amd64 1.3.1-5ubuntu4
2020-07-31 16:31:22 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2020-07-31 16:31:22 install libpcre2-8-0:amd64 <none> 10.34-7
2020-07-31 16:31:22 status half-installed libpcre2-8-0:amd64 10.34-7
2020-07-31 16:31:22 status unpacked libpcre2-8-0:amd64 10.34-7
2020-07-31 16:31:22 install libpcre3:amd64 <none> 2:8.39-12build1
2020-07-31 16:31:22 status half-installed libpcre3:amd64 2:8.39-12build1
2020-07-31 16:31:22 status unpacked libpcre3:amd64 2:8.39-12build1
2020-07-31 16:31:22 install libprocps8:amd64 <none> 2:3.3.16-1ubuntu2
2020-07-31 16:31:22 status half-installed libprocps8:amd64 2:3.3.16-1ubuntu2
2020-07-31 16:31:22 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2020-07-31 16:31:22 install libselinux1:amd64 <none> 3.0-1build2
2020-07-31 16:31:22 status half-installed libselinux1:amd64 3.0-1build2
2020-07-31 16:31:22 status unpacked libselinux1:amd64 3.0-1build2
2020-07-31 16:31:23 install libsemanage-common:all <none> 3.0-1build2
2020-07-31 16:31:23 status half-installed libsemanage-common:all 3.0-1build2
2020-07-31 16:31:23 status unpacked libsemanage-common:all 3.0-1build2
